path,lines,qt_widgets,qt_qobject,qt_core,qt_network,qt_qml,sqlite,posix
ChangeLog.md,1810,1,0,0,0,1,1,0
scripts/macos/create_macosx_bundle.sh,287,0,0,0,0,0,2,0
scripts/win32/compile.sh,151,0,0,0,0,0,22,0
scripts/win32/compile_sqlite_and_ext.sh,90,0,0,0,0,0,9,0
Plugins/CellRendererImage/cellrendererimage.cpp,95,3,1,8,0,0,0,0
Plugins/CellRendererImage/cellrendererimage.h,25,0,2,2,0,0,0,0
Plugins/CellRendererImage/cellrendererimage.ui,106,4,0,0,0,0,0,0
Plugins/CellRendererImage/cellrendererimageplugin.cpp,62,0,0,3,0,0,0,0
Plugins/CellRendererImage/cellrendererimageplugin.h,45,0,1,3,0,0,0,0
Plugins/CsvExport/CsvExport.ui,101,7,0,0,0,0,0,0
Plugins/CsvExport/csvexport.cpp,234,0,0,41,0,0,0,0
Plugins/CsvExport/csvexport.h,64,0,1,41,0,0,0,0
Plugins/CsvImport/CsvImportOptions.ui,123,8,0,0,0,0,0,0
Plugins/CsvImport/csvimport.cpp,207,0,0,27,0,0,0,0
Plugins/CsvImport/csvimport.h,57,0,1,15,0,0,0,0
Plugins/DbAndroid/adbmanager.cpp,440,0,5,82,0,0,0,0
Plugins/DbAndroid/adbmanager.h,66,0,3,37,0,0,0,0
Plugins/DbAndroid/dbandroid.cpp,267,10,3,35,0,0,0,0
Plugins/DbAndroid/dbandroid.h,72,2,1,16,0,0,0,0
Plugins/DbAndroid/dbandroidconnection.cpp,15,0,0,4,0,0,0,0
Plugins/DbAndroid/dbandroidconnection.h,45,0,5,13,0,0,0,0
Plugins/DbAndroid/dbandroidconnectionfactory.cpp,29,0,2,1,0,0,0,0
Plugins/DbAndroid/dbandroidconnectionfactory.h,22,0,2,1,0,0,0,0
Plugins/DbAndroid/dbandroidinstance.cpp,232,0,1,25,0,0,0,0
Plugins/DbAndroid/dbandroidinstance.h,60,0,2,23,0,0,0,0
Plugins/DbAndroid/dbandroidjsonconnection.cpp,421,0,2,45,0,0,0,0
